X,mergy.workerid,mergy.assignmentid,mergy.bonus
127,A30M8BK9ILSO2P,3Z9WI9EOZZPKK1I27Z9R1B0WPDDHK8,2
128,A30RAYNDOWQ61S,3YDGXNSEOZV6DOS6J3S5HHI1P7Q48H,1.52
129,A30USRN6IWGIY8,3KV0LJBBH2MSZJW8OGY1USU61SFMRQ,1.43
130,A31CQ2BUTMPXCT,3UN61F00HWQURCB2WHHFDQJKFV8R5K,1.52
131,A320QA9HJFUOZO,373ERPL3YO9WCEMSXDZDG6PYVYUTRD,0.19
132,A32QWM7BWCSPTS,3ITXP059PWKEZQQ008LE4A7LJYNJSN,2
133,A3329CH71VMUBQ,33LK57MYLT64Z5V4IUO0S4VB2YISZ3,1.52
134,A3388HIWAKD3DV,3G2UL9A02DFGSXR1SMTE0F6KA8L670,2
135,A33T45FNLQC14X,34Q075JO1XE730QK1HWOQ45GUP510F,1.43
136,A33UY8EOVBGFX0,340UGXU9DY235YIY62UXMZ03ZIGUV0,1.09
137,A34930YXVQ8SUT,37C0GNLMHF4W96SBJZW007GGWPU6DB,1.09
138,A35UOR07SAT5IY,3M68NM076H8QAGBG10RK5WXKBS16R1,1.22
139,A36R4DFORDI9TP,320DUZ38G7NB9LH958RXFWOIVPBGJM,1.52
140,A37LY5UTJV2KYZ,3R5F3LQFV2LP1D3BBD7R8ZLA57WZOQ,1.22
141,A38HV76MWKK0EY,33PPUNGG386SYQVR35OV2UQFGUGZRZ,1.52
142,A38I0E8UK53ME5,3TVSS0C0E111KA3EW79J35XFND9TWG,0
143,A38Q1M4DS1MT4W,333U7HK6I9G8X17I3IQP9BLLIVJDJT,2
144,A398CG5XGBNGGE,3MH9DQ757WDKN1S3H7VBMYXTC3RGUW,1.09
145,A3AHCT6Q7A3Q23,3ZWFC4W1UU8MT94R2TUOZ2AX4PMRF3,1.09
146,A3ANNQ73J8M158,308XBLVESI5WGSSBXR8SGCJCPRURBL,2
147,A3BXT78QXFC6F3,382M9COHEHGM3NWCBC5NMVCHZNCEUD,1.09
148,A3CIWKPD7Y6NFG,338JKRMM260E8O9GV8W27XX0K1RHA1,1.09
149,A3FKEMHRTXPWMN,3BXQMRHWKZZKFBOPSAT6Z3HQ8P3MUA,1.43
150,A3H32595TVJ34Q,3FIJLY1B6U51HWOCP1QZU7AI37ZPFA,1.43
151,A3HQXCWOIQKT4F,3M68NM076H8QAGBG10RK5WXKBQJR60,1.43
152,A3HYLVFUDKJFKC,3C44YUNSI1Q4JCAGYVV9677XR6GDP8,0
153,A3IMB1JAMHP1KK,3HVVDCPGTET59FYEB8R7O2IVYL9TYF,1.22
154,A3J85WP15JFYW0,3VD82FOHKQPCTKS1JZNJX1KPWPBCO5,1.52
155,A3JLE2LJ5I17E2,3LRLIPTPEQA5AEAO1TZZKPDSCHGAKH,1.09
156,A3JW215NW77ZTU,3G0WWMR1UVLY5028N2O12H91AVFQNJ,0.19
157,A3KP8KFGG6734Q,3ERMJ6L4DYTIH0CTF20VPB360GH7M8,0
158,A3M8O363B3IAKE,37XITHEISWAFQXKHBR4NRWPU7CVCRE,2
159,A3MIF7YOVHUQIC,3MH9DQ757WDKN1S3H7VBMYXTC3QUG9,1.09
160,A3N3GGRTTDFKLF,3HRMW88U16R4ZPC9U3FMAWTJS0ZM07,2
161,A3NXIIFJG95TXU,37TD41K0AHARRCKUQG4SH6UQTEECS2,1.22
162,A3R8KKND7IBAZN,3ZR9AIQJUBAOVZN3OZFQO2CJ69E40U,1.09
163,A3RIPY2C8JEGO5,3E4GGUZ1T8SG5BFKOE6KE7UU0TOK2K,2
164,A3SD02HCW68EUL,33FBRBDW6O098S5LCIYN0FUPHK7C82,1.09
165,A3TI6XISG3CKJF,3VP0C6EFSGXZD0YOWSV3JX3A53L6MS,0
166,A3TUCOUVSP9ZGY,3E337GFOL997SB8UK6JP835Z49ANGR,1.22
167,A3TUJHF9LW3M8N,3CP1TO84PT2DNSUHHR2ECIBC33T52K,1.43
168,A3VPK66FDCY78Q,3S4AW7T80BJ1SVCPDS19MM4797P4L3,1.09
169,A3VRDQJNM1IC0E,3U5NZHP4LR3LVSFIKREZXSMVJMCHP0,1.09
170,A3VTOW7WLPTBRR,3P59JYT76LLF8U57INKCFYHQJ8Z2TW,1.09
171,A3ZUQODR46SC4,3RRCEFRB7MDPFMQDMFCF8J82XDB4BG,1.09
172,A468MK6QPI9XH,35GCEFQ6I5P0FOAPSFNZKWNZAG13Z0,2
173,A5T9IFDZ3W4T6,3U5JL4WY5KAWSPTERB4XXGZUGGZ4XP,1.52
174,A64JDJKE9DYCT,3IFS6Q0HJIKI4F6UIQ0ES9SL6MHISZ,1.09
175,A6MWJK1YEY5L2,3NGMS9VZTLJPQJZIBYUUIDWE11IFF3,1.09
176,A6SF30ZZJMJ1N,3G2UL9A02DFGSXR1SMTE0F6KAEQ76I,2
177,A7204W9E8IR1R,3YJ6NA41JBHHMYA88RHK952AWEGJP7,1.09
178,A87D3K9YVKTQ7,3A9AA95ATWN9FZVNJPDQ8VJ5EDLP5R,1.22
179,A87D3K9YVKTQ7,3A9AA95ATWN9FZVNJPDQ8VJ5EDLP5R,1.22
180,A87D3K9YVKTQ7,3A9AA95ATWN9FZVNJPDQ8VJ5EDLP5R,1.22
181,A87D3K9YVKTQ7,3A9AA95ATWN9FZVNJPDQ8VJ5EDLP5R,1.22
182,A87D3K9YVKTQ7,3A9AA95ATWN9FZVNJPDQ8VJ5EDLP5R,1.22
183,A87D3K9YVKTQ7,3A9AA95ATWN9FZVNJPDQ8VJ5EDLP5R,1.22
184,A9A2IX3OBORBE,3KGTPGBS6XMU87KWISAMKU3S2KM2UZ,1.52
185,A9MGD6PRW1N7K,3VZLGYJEYLBCVMH3C4UNRCC3HDKXZG,1.52
186,AB66CTVQ90RCV,39PAAFCODM1O5L396X4NH3E1G47TV6,1.52
187,ABL3H3O3BI8ZD,3WAKVUDHUWH1U8H2O4RHGLK0D07U76,1.22
188,ACGZDI611LU0I,3ZSY5X72NXCGZMHK1WDEMWJBWQDROP,2
189,ACXGNNBH4248S,3B4YI393V9X7YT9QN2USWBY8FKWSSE,1.09
190,ACZCCLKP1S5B4,3KMS4QQVK2R065RWC9LRYQOJ9U5FK5,1.09
